ID,Block,Gender,Hhsize,HousingType,Idimp,Iddiff,Idinsult,ViolNorm1,ViolNorm2,PeerBlameJ,PeerBlameH,PeerBlameD,NoMeeting,LeadBlameJ,LeadBlameH,LeadBlameD,EmotJob1,DegrEmotJ,EmotJob2,EmotHous1,DegrEmotH,EmotHous2,SAPosNow,SAPosNorm,ForPosNow,ForPosNorm,EmotPos1,DegrEmotPos,EmotPos2,LiveAlex08,ParticToyi,ParticIntim,ParticLoot,ParticHelp,ParticHarm,ParticDestr,IntendToyi,IntendToyi2,IntendHelp,IntendHit,IntendDestr,Age,AttendCh,Married,YrsAlex,Working,JobR,Lang,Party,Education,Ownership,HaveElect,HaveTV,HaveCell,HaveFridge,HaveMicro,HaveComp,HaveCar
10001,S1,2,2,6,1,4,1,5,1,2,2,4,0,NA,NA,NA,6,2,3,4,1,6,2,6,3,1,3,2,3,1,3,3,3,3,3,3,4,4,2,4,4,33,2,2,17,1,cleaner,1,3,2,1,2,2,2,2,2,1,1
10002,S1,1,2,6,1,4,1,5,1,2,2,3,0,NA,NA,NA,9,NA,NA,8,1,8,3,5,1,2,9,NA,NA,1,3,3,3,1,3,3,4,4,1,4,4,48,3,4,77,7,driver,1,3,2,2,2,2,2,2,2,2,2
10003,S1,2,1,6,1,4,1,4,1,2,2,2,0,NA,NA,NA,6,2,4,8,1,8,1,7,7,1,8,1,7,1,3,3,3,3,3,3,4,4,4,4,1,39,2,2,16,1,cleaner,2,3,3,3,2,2,2,2,1,1,1
10004,S1,1,1,6,1,4,1,5,1,1,1,1,0,NA,NA,NA,6,1,8,8,1,8,1,7,6,1,8,1,8,1,3,3,3,3,3,3,4,1,4,1,1,48,4,1,77,7,driver,4,88,2,3,2,2,2,2,1,1,1
10005,S1,2,5,6,2,4,3,5,3,4,4,4,0,NA,NA,NA,7,2,6,7,2,8,1,5,1,2,7,2,3,1,3,3,3,3,3,3,4,4,4,4,4,29,4,1,77,1,baker,1,3,3,1,2,2,2,2,2,1,1
10006,S1,1,2,6,1,4,2,5,1,2,1,4,0,NA,NA,NA,9,9,99,8,2,8,4,3,1,2,2,3,NA,1,3,3,3,3,3,3,4,4,1,4,4,58,1,1,44,1,security guard,4,3,2,2,2,2,2,2,2,1,1
10007,S1,1,4,6,1,4,4,2,1,2,1,2,3,1,1,2,3,1,3,3,1,3,2,6,7,1,NA,NA,NA,1,1,1,2,1,2,1,1,1,4,1,1,39,1,1,16,1,driver,6,99,3,2,2,2,2,2,1,1,1
10008,S1,2,3,5,1,4,2,4,1,2,3,4,0,NA,NA,NA,3,2,5,4,1,3,3,6,5,2,8,1,3,2,NA,NA,NA,NA,NA,NA,1,1,4,4,1,21,2,3,1,7,never worked,5,3,3,2,2,2,2,1,1,1,1
10009,S1,2,3,5,1,4,2,5,1,1,1,2,0,NA,NA,NA,9,NA,NA,1,2,9,4,5,5,7,1,2,1,1,3,3,3,3,3,3,4,4,1,4,4,39,1,3,77,8,domestic worker,4,88,2,1,2,2,2,2,2,1,1
10010,S1,1,3,1,2,3,4,5,1,4,3,4,1,3,2,3,4,2,8,3,1,8,4,5,4,1,3,1,6,1,3,3,3,3,3,3,3,2,3,4,4,37,1,4,77,1,taxi driver,4,3,2,1,2,2,2,2,2,2,1
